                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.84892,                0.73741,                 1.2524,                0.90665,                0.91753,                0.94087,                0.61149,                 1.3039,                0.89722,                 1.9015,             7.0349e-05,             7.0349e-05,             7.0349e-05
                     34,                0.84739,                0.72087,                 1.2505,                0.89518,                0.91687,                0.93743,                0.61089,                 1.3085,                0.89878,                 1.8944,             6.6547e-05,             6.6547e-05,             6.6547e-05
                     35,                0.84436,                0.72778,                 1.2479,                0.90336,                 0.9334,                0.94096,                0.62636,                 1.2721,                0.87211,                 1.8629,             6.2746e-05,             6.2746e-05,             6.2746e-05
                     36,                0.83646,                0.71395,                 1.2428,                0.91143,                0.93022,                0.93891,                0.61182,                 1.3049,                0.88961,                 1.9014,             5.8944e-05,             5.8944e-05,             5.8944e-05
                     37,                0.82514,                0.70552,                  1.245,                0.90682,                0.92776,                0.94377,                0.61524,                 1.2906,                0.87999,                 1.8902,             5.5142e-05,             5.5142e-05,             5.5142e-05
                     38,                0.82068,                0.69687,                 1.2345,                0.92055,                0.92084,                0.94242,                 0.6104,                 1.3252,                 0.8687,                 1.9526,             5.1341e-05,             5.1341e-05,             5.1341e-05
                     39,                0.81843,                0.68913,                 1.2286,                0.90983,                0.92954,                0.94612,                0.62028,                 1.2964,                0.85625,                 1.9204,             4.7539e-05,             4.7539e-05,             4.7539e-05
                     40,                 0.7384,                0.65275,                 1.2813,                0.91438,                0.91728,                0.93675,                0.60002,                 1.3181,                0.90172,                 1.9422,             4.3738e-05,             4.3738e-05,             4.3738e-05
                     41,                 0.7208,                0.60702,                 1.2702,                0.90014,                0.93514,                0.93825,                0.60604,                 1.3375,                0.86438,                 1.9623,             3.9936e-05,             3.9936e-05,             3.9936e-05
                     42,                0.71323,                0.59508,                 1.2576,                0.91118,                0.92868,                0.94147,                0.61072,                  1.299,                0.84066,                 1.9299,             3.6134e-05,             3.6134e-05,             3.6134e-05
                     43,                0.69613,                0.57808,                  1.247,                0.91328,                0.92645,                0.94641,                0.60686,                 1.3204,                0.83099,                 1.9724,             3.2333e-05,             3.2333e-05,             3.2333e-05
                     44,                0.69038,                0.56437,                 1.2384,                0.90331,                0.93225,                0.94205,                0.60922,                 1.3105,                0.83223,                 1.9604,             2.8531e-05,             2.8531e-05,             2.8531e-05
                     45,                0.68895,                0.56431,                 1.2349,                0.90908,                0.93565,                0.94261,                0.61451,                 1.3021,                0.82056,                 1.9595,              2.473e-05,              2.473e-05,              2.473e-05
                     46,                0.67772,                0.54791,                 1.2332,                0.90686,                0.92815,                0.94198,                0.61064,                 1.3115,                0.82741,                 1.9631,             2.0928e-05,             2.0928e-05,             2.0928e-05
                     47,                0.67253,                0.54356,                 1.2268,                0.91134,                0.92853,                0.94227,                0.60836,                 1.3286,                0.81937,                  1.992,             1.7126e-05,             1.7126e-05,             1.7126e-05
                     48,                0.66248,                0.53517,                  1.215,                0.90544,                0.93365,                0.94127,                0.61013,                 1.3118,                0.81355,                 1.9843,             1.3325e-05,             1.3325e-05,             1.3325e-05
                     49,                0.66885,                0.53457,                 1.2139,                 0.9053,                0.93457,                0.93978,                0.61021,                 1.3078,                0.80996,                 1.9822,             9.5232e-06,             9.5232e-06,             9.5232e-06
