                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4409,                 3.5772,                 1.8096,                0.68875,                0.41621,                0.42158,                0.19583,                 1.5567,                 4.1081,                 2.0239,             0.00020699,             0.00020699,             0.00020699
                      1,                 1.4178,                 2.5063,                 1.7274,                0.56344,                 0.6058,                0.63571,                0.36133,                 1.6532,                 3.0579,                 2.1054,              0.0004071,              0.0004071,              0.0004071
                      2,                 1.4277,                 2.0471,                 1.6953,                0.77615,                0.58912,                0.72167,                0.40798,                 1.6302,                 2.6545,                 2.0942,             0.00059896,             0.00059896,             0.00059896
                      3,                 1.4038,                 1.8282,                 1.6753,                0.81718,                0.74888,                0.80046,                0.39528,                 1.6728,                 2.3158,                 2.1326,             0.00058787,             0.00058787,             0.00058787
                      4,                 1.3756,                  1.637,                 1.6401,                 0.7053,                0.65382,                0.69916,                   0.32,                 2.0109,                 2.2013,                 2.3253,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.3456,                 1.5131,                 1.6133,                0.70606,                0.73409,                0.78448,                0.41537,                 1.6513,                 1.7053,                 2.0877,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.3073,                 1.3732,                 1.5875,                0.73218,                 0.7521,                0.76405,                0.42314,                 1.6471,                 1.6465,                 2.1279,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.2919,                 1.3077,                  1.576,                0.78909,                0.80166,                0.83877,                0.50285,                 1.4838,                 1.5536,                 1.9487,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.2731,                 1.2545,                 1.5571,                0.77728,                0.72871,                0.79761,                0.42824,                 1.6788,                 1.4952,                 2.1109,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.2491,                 1.1755,                 1.5403,                0.77739,                0.71854,                0.75361,                0.39239,                 1.7893,                 1.5526,                 2.2376,               0.000526,               0.000526,               0.000526
                     10,                 1.2523,                 1.1384,                 1.5256,                0.71696,                0.75408,                0.73845,                0.36432,                 1.9785,                 1.6174,                 2.3687,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.2333,                 1.0842,                 1.5182,                0.81091,                0.73254,                0.78202,                0.40062,                 1.7154,                 1.4788,                 2.2087,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.2194,                 1.0545,                 1.5117,                0.79018,                0.79235,                0.79238,                0.39895,                 1.7844,                 1.3997,                 2.2141,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.1977,                  1.056,                 1.4919,                 0.7558,                 0.7591,                0.76666,                0.39596,                 1.8524,                 1.4373,                 2.3034,              0.0004765,              0.0004765,              0.0004765
                     14,                 1.1767,                 1.0066,                 1.4869,                0.82201,                0.77562,                 0.7974,                0.44896,                  1.683,                 1.3869,                 2.1083,             0.00046413,             0.00046413,             0.00046413
                     15,                 1.1647,                 0.9635,                 1.4715,                0.72873,                 0.7857,                0.78934,                0.45632,                 1.6833,                 1.3368,                 2.1717,             0.00045175,             0.00045175,             0.00045175
                     16,                  1.141,                0.94402,                 1.4558,                0.81428,                0.81027,                0.80429,                0.45735,                 1.6604,                 1.2703,                 2.1254,             0.00043937,             0.00043937,             0.00043937
                     17,                 1.1452,                 0.9499,                 1.4537,                0.75073,                0.78988,                0.80235,                 0.4724,                 1.6045,                 1.1791,                  2.052,               0.000427,               0.000427,               0.000427
                     18,                 1.1218,                0.91439,                 1.4475,                0.82258,                0.80231,                0.83899,                0.45016,                 1.7751,                 1.2898,                 2.2242,             0.00041462,             0.00041462,             0.00041462
